Date,Device Model,Active Users
2023-01-01,JAT-AL00,36
2023-01-01,Lenovo A7010a48,36
2023-01-01,SM-A710F,36
2023-01-01,SM-N910H,36
2023-01-01,Infinix X627,35
2023-01-01,Infinix X6827,35
2023-01-01,Moto E (4) Plus,35
2023-01-01,Symbol R60,35
2023-01-01,Infinix X687,34
2023-01-01,RMX3506,34
2023-01-01,SM-J3110,34
2023-01-01,YAL-L21,34
2023-01-01,CPH2001,33
2023-01-01,Infinix X612B,33
2023-01-01,L503F Plus,33
2023-01-01,LDN-LX2,33
2023-01-01,RMX1807,33
2023-01-01,RMX2002,33
2023-01-01,SM-A236E,33
2023-01-01,SM-G885F,33
2023-01-01,SM-G960F,33
2023-01-01,vivo V3,33
2023-01-01,CPH2457,32
2023-01-01,DUA-L22,32
2023-01-01,Nokia 6.1 Plus,32
2023-01-01,SM-N985F,32
2023-01-01,MAR-LX2,31
2023-01-01,meizu C9,31
2023-01-01,ASUS_X014D,30
2023-01-01,CPH2251,30
2023-01-01,MYA-L22,30
2023-01-01,RMX1831,30
2023-01-01,SM-G990E,30
2023-01-01,SX,30
2023-01-01,vivo Y31,30
2023-01-01,ASUS_X00QD,29
2023-01-01,ASUS_Z00AD,29
2023-01-01,CPH1907,29
2023-01-01,CPH2145,29
2023-01-01,MI 6X,29
2023-01-01,Pearl K3,29
2023-01-01,SM-G780G,29
2023-01-01,SM-G998B,29
2023-01-01,SM-N935F,29
2023-01-01,SO-01J,29
2023-01-01,SOV37,29
2023-01-01,Star,29
2023-01-01,TECNO LE7,29
2023-01-01,V2151,29
2023-01-01,itel L6503,29
2023-01-01,220333QPG,28
2023-01-01,Lenovo A6600d40,28
2023-01-01,M5,28
2023-01-01,POCO F2 Pro,28
2023-01-01,Infinix X625D,27
2023-01-01,JSN-L22,27
2023-01-01,Lenovo A7000-a,27
2023-01-01,MI MAX,27
2023-01-01,RMX2163,27
2023-01-01,SM-G925F,27
2023-01-01,SM-M336B,27
2023-01-01,SM-N970F,27
2023-01-01,5202,26
2023-01-01,ASUS_X00ID,26
2023-01-01,Infinix X6810,26
2023-01-01,MI 8,26
2023-01-01,MITO_A37_Z1,26
2023-01-01,SM-G973F,26
2023-01-01,V9,26
2023-01-01,ASUS_X00AD,25
2023-01-01,HRY-AL00a,25
2023-01-01,MEIZU M6,25
2023-01-01,SM-M526BR,25
2023-01-01,SM-S908E,25
2023-01-01,i5G,25
2023-01-01,itel S661L,25
2023-01-01,ASUS_A007,24
2023-01-01,ASUS_Z00VD,24
2023-01-01,SM-G780F,24
2023-01-01,SM-G988B,24
2023-01-01,TECNO BD4,24
2023-01-01,TECNO KD7,24
2023-01-01,unknown,24
2023-01-01,6002,23
2023-01-01,Infinix X6815B,23
2023-01-01,Lenovo A2010-a,23
2023-01-01,Lenovo K520,23
2023-01-01,Nokia 2.2,23
2023-01-01,SM-J510GN,23
2023-01-01,CRO-L22,22
2023-01-01,DUB-AL20,22
2023-01-01,LG-M700,22
2023-01-01,M2007J3SY,22
2023-01-01,Pixel 5,22
2023-01-01,SO-04H,22
2023-01-01,SOV40,22
2023-01-01,TECNO KE5j,22
2023-01-01,U2,22
2023-01-01,VIVO 1902,22
2023-01-01,CPH1917,21
2023-01-01,CPH2371,21
2023-01-01,MI MAX 3,21
2023-01-01,RMX2086,21
2023-01-01,SM-G532F,21
2023-01-01,SM-J3119S,21
2023-01-01,SM-J710GN,21
2023-01-01,ASUS_Z017DB,20
2023-01-01,CAM-L21,20
2023-01-01,CPH2109,20
2023-01-01,OPPO F5,20
2023-01-01,RMX1903,20
2023-01-01,SM-G900H,20
2023-01-01,SM-G920F,20
2023-01-01,SM-P355,20
2023-01-01,2203129G,19
2023-01-01,ASUS_X00HD,19
2023-01-01,Infinix X626B LTE,19
2023-01-01,Infinix X652A,19
2023-01-01,Nokia 3.1 Plus,19
2023-01-01,SM-N770F,19
2023-01-01,SOV35,19
2023-01-01,V2202,19
2023-01-01,VOG-L29,19
2023-01-01,iris88,19
2023-01-01,ASUS_X00LD,18
2023-01-01,Mi 10,18
2023-01-01,Nokia 5.4,18
2023-01-01,SM-G996B,18
2023-01-01,TA-1053,18
2023-01-01,TRT-LX2,18
2023-01-01,U70B,18
2023-01-01,W-V730-ID,18
2023-01-01,ASUS_X018D,17
2023-01-01,ASUS_Z010D,17
2023-01-01,K350t,17
2023-01-01,Nokia C1,17
2023-01-01,POCO F1,17
2023-01-01,S45,17
2023-01-01,TECNO KF8,17
2023-01-01,i13 Pro Max,17
2023-01-01,801SO,16
2023-01-01,ASUS_I005D,16
2023-01-01,ASUS_Z00UD,16
2023-01-01,Lenovo A7700,16
2023-01-01,Lenovo P1a42,16
2023-01-01,MI 5X,16
2023-01-01,SM-N980F,16
2023-01-01,SO-01H,16
2023-01-01,vivo V15,16
2023-01-01,ASUS_Z00RD,15
2023-01-01,Lenovo P1ma40,15
2023-01-01,Mi 4i,15
2023-01-01,Nokia 2,15
2023-01-01,Pearl K3 2021,15
2023-01-01,RMX3572,15
2023-01-01,SM-C9000,15
2023-01-01,SM-E500H,15
2023-01-01,SM-N900,15
2023-01-01,SM-N9005,15
2023-01-01,SOV38,15
2023-01-01,vivo Y55A,15
2023-01-01,2014811,14
2023-01-01,5063,14
2023-01-01,701SO,14
2023-01-01,ASUS_X017DA,14
2023-01-01,AUM-AL20,14
2023-01-01,G55,14
2023-01-01,HUAWEI LUA-U22,14
2023-01-01,Infinix X677,14
2023-01-01,Infinix X6811,14
2023-01-01,Infinix X698,14
2023-01-01,LLD-AL20,14
2023-01-01,Nokia C3,14
2023-01-01,S4Z,14
2023-01-01,SM-A300H,14
2023-01-01,SM-G985F,14
2023-01-01,SOV39,14
2023-01-01,SOV41,14
2023-01-01,TECNO LE6,14
2023-01-01,TECNO PR651,14
2023-01-01,U6,14
2023-01-01,W-K560-ID,14
2023-01-01,i5K,14
2023-01-01,2014813,13
2023-01-01,702SO,13
2023-01-01,9027Q,13
2023-01-01,ASUS_X00DDB,13
2023-01-01,ASUS_Z00ED,13
2023-01-01,CPH1607,13
2023-01-01,CPH2359,13
2023-01-01,F-02H,13
2023-01-01,LUNA G5,13
2023-01-01,Nokia 5.3,13
2023-01-01,R50A,13
2023-01-01,RMX1931,13
2023-01-01,SM-F711B,13
2023-01-01,SM-G390Y,13
2023-01-01,SM-G770F,13
2023-01-01,SM-J3119,13
2023-01-01,SM-J5108,13
2023-01-01,SM-P205,13
2023-01-01,STK-L22,13
2023-01-01,vivo 1713,13
2023-01-01,vivo 1726,13
2023-01-01,5058,12
2023-01-01,ASUS_T00F,12
2023-01-01,CPH1869,12
2023-01-01,INE-LX2r,12
2023-01-01,Infinix X672,12
2023-01-01,Infinix X676C,12
2023-01-01,JKM-LX2,12
2023-01-01,Lenovo L38011,12
2023-01-01,MI 9,12
2023-01-01,R7sf,12
2023-01-01,SH-C03,12
2023-01-01,SM-E700H,12
2023-01-01,SO-02H,12
2023-01-01,TECNO BD4a,12
2023-01-01,TECNO LD7,12
2023-01-01,V55C,12
2023-01-01,XT1706,12
2023-01-01,iris80,12
2023-01-01,vivo 1939,12
2023-01-01,5041,11
2023-01-01,E6653,11
2023-01-01,Infinix X6821,11
2023-01-01,LG-H870DS,11
2023-01-01,LYA-L29,11
2023-01-01,Lenovo A1000,11
2023-01-01,Lenovo A6020a46,11
2023-01-01,Lenovo K53a48,11
2023-01-01,M55B,11
2023-01-01,MAXTRON S8,11
2023-01-01,MI 5,11
2023-01-01,Moto C,11
2023-01-01,Pixel 2,11
2023-01-01,RMX3370,11
2023-01-01,RMX3371,11
2023-01-01,S12,11
2023-01-01,SH-04H,11
2023-01-01,SM-G6100,11
2023-01-01,SM-G610Y,11
2023-01-01,SM-G611F,11
2023-01-01,SM-M625F,11
2023-01-01,SM-T116NU,11
2023-01-01,SO-01L,11
2023-01-01,SO-03H,11
2023-01-01,X7,11
2023-01-01,vivo Y51,11
2023-01-01,5061,10
2023-01-01,5062,10
2023-01-01,ALDO,10
2023-01-01,ASUS_I001DE,10
2023-01-01,ASUS_Z012DB,10
2023-01-01,CPH2035,10
2023-01-01,Coolpad E502,10
2023-01-01,HUAWEI VNS-L31,10
2023-01-01,Infinix X5515F,10
2023-01-01,LG-K350,10
2023-01-01,Lenovo A6000,10
2023-01-01,Lenovo K33a42,10
2023-01-01,Lenovo L38041,10
2023-01-01,Moto G (5S) Plus,10
